CO2,O2,cave_beetles,mushrooms,simulation_id,slime_goop,slime_goop_initial,mushrooms_initial,cave_beetles_initial,growth_rate
100.0,100.0,6.338253001141147e+29,6.338253001141147e+29,1.0,6.338253001141147e+29,1,1,1,1.0
100.0,100.0,7.94045522913101e+33,7.94045522913101e+33,2.0,7.94045522913101e+33,1,1,1,1.2
100.0,100.0,4.374343963021566e+37,4.374343963021566e+37,3.0,4.374343963021566e+37,1,1,1,1.4
100.0,100.0,1.208819477531893e+41,1.208819477531893e+41,4.0,1.208819477531893e+41,1,1,1,1.5999999999999999
100.0,100.0,1.856286913063581e+44,1.856286913063581e+44,5.0,1.856286913063581e+44,1,1,1,1.7999999999999998
100.0,100.0,1.7179250691066885e+47,1.7179250691066885e+47,6.0,1.7179250691066885e+47,1,1,1,1.9999999999999998
100.0,100.0,1.0229345649675356e+50,1.0229345649675356e+50,7.0,1.0229345649675356e+50,1,1,1,2.1999999999999997
100.0,100.0,4.13440281028896e+52,4.13440281028896e+52,8.0,4.13440281028896e+52,1,1,1,2.3999999999999995
6.338253001141149e+28,0.0,1.2676506002282294e+30,6.338253001141147e+29,9.0,6.338253001141147e+29,1,1,2,1.0
7.278750626703426e+32,0.0,1.588091045826202e+34,7.94045522913101e+33,10.0,7.94045522913101e+33,1,1,2,1.2
3.749437682589913e+36,0.0,8.748687926043133e+37,4.374343963021566e+37,11.0,4.374343963021566e+37,1,1,2,1.4
9.821658254946631e+39,0.0,2.417638955063786e+41,1.208819477531893e+41,12.0,1.208819477531893e+41,1,1,2,1.5999999999999999
1.4437787101605632e+43,0.0,3.712573826127162e+44,1.856286913063581e+44,13.0,1.856286913063581e+44,1,1,2,1.7999999999999998
1.2884438018300163e+46,0.0,3.435850138213377e+47,1.7179250691066885e+47,14.0,1.7179250691066885e+47,1,1,2,1.9999999999999998
7.439524108854806e+48,0.0,2.0458691299350713e+50,1.0229345649675356e+50,15.0,1.0229345649675356e+50,1,1,2,2.1999999999999997
2.928535323954679e+51,0.0,8.26880562057792e+52,4.13440281028896e+52,16.0,4.13440281028896e+52,1,1,2,2.3999999999999995
1.2676506002282295e+29,0.0,1.901475900342344e+30,6.338253001141147e+29,17.0,6.338253001141147e+29,1,1,3,1.0
1.4557501253406832e+33,0.0,2.3821365687393007e+34,7.94045522913101e+33,18.0,7.94045522913101e+33,1,1,3,1.2
7.498875365179825e+36,0.0,1.3123031889064695e+38,4.374343963021566e+37,19.0,4.374343963021566e+37,1,1,3,1.4
1.9643316509893308e+40,0.0,3.626458432595685e+41,1.208819477531893e+41,20.0,1.208819477531893e+41,1,1,3,1.5999999999999999
2.8875574203211185e+43,0.0,5.568860739190733e+44,1.856286913063581e+44,21.0,1.856286913063581e+44,1,1,3,1.7999999999999998
2.5768876036600326e+46,0.0,5.1537752073200646e+47,1.7179250691066885e+47,22.0,1.7179250691066885e+47,1,1,3,1.9999999999999998
1.4879048217709613e+49,0.0,3.0688036949026073e+50,1.0229345649675356e+50,23.0,1.0229345649675356e+50,1,1,3,2.1999999999999997
5.857070647909351e+51,0.0,1.2403208430866866e+53,4.13440281028896e+52,24.0,4.13440281028896e+52,1,1,3,2.3999999999999995
