CO2,O2,Slime Goop,Mushrooms,Cave Beetles,Glow Worms,Stone Trolls,Crystal Spiders,Fungal Golems,Recording Purpose
150.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
144.5,101.089,2.2948,2.194,1.0,2.089,1.0,2.0395000000000003,1.0,0.0
140.28179124886051,103.9114130800541,5.250040248867076,4.79807459383656,1.4897903372835004,4.339413991631137,1.0,4.1372996173750005,1.5170009115770282,0.0
138.18448973210235,110.32233876007376,11.925968499309475,10.420284569751733,2.4142830353040656,8.913430690400455,1.0,8.301733110317471,2.502505010380795,0.0
139.6679129898074,123.93943187078045,26.653449704928192,22.30510652269124,4.083707531369075,17.926033323647804,1.0,16.294905763483932,4.30894021294111,0.0
147.38231149479535,151.12044320462363,57.44956786937949,46.40523967717,7.086149048315868,34.79265644000563,1.0,30.61655529981343,7.6116451061624435,0.0
166.15964904549833,201.71699839331782,114.79004695808732,91.8011045331964,12.489824252252719,64.25318406188421,1.0,52.92151705113893,13.65662887319002,0.0
204.75338365449306,289.4349651462441,199.65806106969228,168.44449294571675,22.201314775928743,112.41836903826723,1.0,79.08189680139793,24.700402285340928,0.0
278.78951572073316,432.7582725349552,289.1667205244256,283.1479932490552,39.5489388985138,188.04816973916206,1.0,96.45145122494276,44.72486235045094,0.0
415.52355362363966,657.2726211337259,378.10980713121523,442.3421043145045,70.17135513084112,305.0165071568727,1.0,100.04520935545878,80.50215855810204,0.0
657.0492236185069,1001.4086924181242,509.1314263446957,663.092767103464,121.60512452692255,484.832794433525,1.0,99.99771807142595,140.69672314912674,0.0
1066.5274566757125,1523.930564106771,725.880297019998,979.7535544567677,204.9090880545889,759.9434778721889,1.0,100.00011404175312,237.4216061835421,0.0
1739.667712381362,2313.7531413549113,1082.3350174741904,1446.129195524455,337.2677733544213,1179.021432433154,1.0,99.99999429777577,389.1988551850138,0.0
2824.8889720895877,3502.840878342454,1661.5667977991316,2141.7973055956563,546.2219785957976,1815.070403719039,1.0,100.00000028511087,625.9826667314962,0.0
4556.481909126332,5283.296587650855,2594.532958115379,3184.0612167034737,876.2136884036152,2777.07940654601,1.0,99.99999998574447,996.6236972376082,0.0
7306.874066570017,7929.733775082348,4088.0924737495825,4745.000675346624,1398.4862517232664,4226.167188608229,1.0,100.00000000071277,1579.7300011767347,0.0
11668.642541739779,11826.553576133125,6469.357729321011,7074.252610190939,2226.5593966888237,6397.372582860216,1.0,99.99999999996437,2500.5527818094397,0.0
18583.87348518112,17496.547534428315,10256.358630347162,10528.031865493085,3540.7792314748685,9627.87779734865,1.0,100.00000000000178,3957.883839053461,0.0
29548.932709107034,25620.423569300845,16270.438056489907,15602.95179910073,5627.342935794008,14390.78599726349,1.0,99.99999999999991,6266.909962390961,0.0
46766.072853695965,37120.33522778918,25814.665562794555,22968.106914863973,8865.355557442157,21329.142881090454,1.0,100.00000000000001,9829.23122260212,0.0
73363.12639091832,53259.47452539609,40888.80144566317,33521.90880825207,13764.4669655639,31310.029511950146,1.0,99.99999999999999,15170.890214343253,0.0
113821.49124235526,75702.747337276,64458.48492432626,48476.92269913235,21065.828931882083,45503.96505098069,1.0,100.0,23060.692239100776,0.0
174463.45769768904,106627.2519028335,100841.46706387427,69447.22156356828,31786.263356906085,65471.28222610295,1.0,100.0,34546.77766054545,0.0
264080.4235108478,148856.12367711373,156205.30967425095,98556.87609744011,47300.07367199798,93268.93680032548,1.0,100.0,51040.06502604524,0.0
394733.44179181446,206019.9045742824,239202.2692171113,138572.89377965065,69439.62967482554,131581.19067885217,1.0,100.0,74417.40978168354,0.0
582763.134320595,282750.03677523066,361774.2791091793,193066.52323077913,100618.37837553526,183878.11844378425,1.0,100.0,107147.98624283599,0.0
850052.4016289385,384909.5521626578,540168.7141909945,266607.3620488229,143980.55239281955,254606.38701898092,1.0,100.0,152446.8716315538,0.0
1225592.4794737673,519866.52643645427,796212.849813641,364995.24481091014,203582.38818265987,349417.28401741234,1.0,100.0,214460.30974361592,0.0
1747410.618034325,696816.3947001932,1158901.1809193632,495535.4499965731,284610.110523288,475437.52027469693,1.0,100.0,298487.65201095806,0.0
2464925.924746794,927159.780829082,1666355.7360751682,667363.3440969081,393640.3237241034,641588.9000189707,1.0,100.0,411245.51389008184,0.0
3441808.711835196,1224943.0702845417,2368226.3443287015,891825.1728819845,538948.8387527317,858963.5340284694,1.0,100.0,561180.2445730097,0.0
4759428.079720618,1607369.5475002225,3328606.181613413,1182922.3101175423,730874.4163846425,1141261.8643082203,1.0,100.0,758835.3870925395,0.0
6520982.523321931,2095389.5163807657,4629547.790606461,1557826.8795357728,982244.4462806882,1505301.3701871992,1.0,100.0,1017281.401306656,0.0
8856419.129778303,2714378.417626475,6375275.671643701,2037477.2722015495,1308870.2031484905,1971604.430719687,1.0,100.0,1352615.5294739779,0.0
11928258.464113448,3494912.5411107237,8697203.064218143,2647262.682805986,1730119.9937342824,2565074.4205740276,1.0,100.0,1784540.2970897784,0.0
15938454.489220398,4473652.4965012055,11759872.51268613,3417806.3776898882,2269579.195270507,3315769.708432597,1.0,100.0,2337029.7530421154,0.0
21136431.774541803,5694345.141175794,15767952.263760073,4385857.976125712,2955806.85506616,4259785.799390852,1.0,100.0,3039093.1547162635,0.0
27828455.722377755,7208955.160941899,20974433.54740266,5595305.565066169,3823199.150201788,5440256.406127362,1.0,100.0,3925646.3863612562,0.0
36388505.4727942,9078937.945088858,27690187.35707482,7098318.96577046,4912970.583509893,6908484.737172395,1.0,100.0,5038501.953025436,0.0
47270833.41746004,11376665.781163452,36295053.398695424,8956635.917208603,6274264.311177929,8725216.743202213,1.0,100.0,6427488.907127621,0.0
61024409.73022363,14187019.704230957,47250648.29289465,11243003.323983898,7965403.454640221,10962068.452063877,1.0,100.0,8151714.52899637,0.0
78309464.8685319,17609159.557437807,61115094.74029234,14042786.02316913,10055295.640285568,13703119.837740732,1.0,100.0,10280979.984533882,0.0
99916357.46277325,21758484.94221492,78559888.03545196,17455755.741901677,12625003.327697657,17046687.8947474,1.0,100.0,12897362.509970287,0.0
